model,head,seed,acc,mf1,uar,roc_auc,pr_auc,eer,delta_mf1,delta_uar,eta_mf1,eta_uar,pli_mf1,pli_uar
wavlm-b,mlp,44,0.9994487320837927,0.9994440766892223,0.9993935718617344,1.0,1.0,0.0,,,,,,
wavlm-b,derived,44,,,,,,,0.0002780041435102021,0.0003032140691328067,0.9996218234369791,0.9995965816284523,0.9987882113545097,0.998687306387432
whisper-base,linear,42,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,
whisper-base,mlp,42,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,
whisper-base,derived,42,,,,,,,0.0,0.0,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001
whisper-base,linear,43,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,
whisper-base,mlp,43,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,
whisper-base,derived,43,,,,,,,0.0,0.0,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001
whisper-base,linear,44,0.9997243660418964,0.999722052463287,0.9996967859308672,1.0,1.0,0.0,,,,,,
whisper-base,mlp,44,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,
whisper-base,derived,44,,,,,,,0.00027794753671295247,0.0003032140691328067,0.9996220902542616,0.9995968262482424,0.9993442477566317,0.9992937344270634
xvect-voxceleb,linear,42,0.9997243660418964,0.999722080568598,0.9997473471450227,1.0,1.0,0.0,,,,,,
xvect-voxceleb,mlp,42,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,
xvect-voxceleb,derived,42,,,,,,,0.00027791943140198505,0.00025265285497733103,0.9996221183567624,0.999647382406782,0.9993443039460118,0.9993948186416464
xvect-voxceleb,linear,43,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,
xvect-voxceleb,mlp,43,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,
xvect-voxceleb,derived,43,,,,,,,0.0,0.0,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001
xvect-voxceleb,linear,44,0.9994487320837927,0.9994441891105188,0.9994946942900456,1.0,1.0,0.0,,,,,,
xvect-voxceleb,mlp,44,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,
xvect-voxceleb,derived,44,,,,,,,0.0005558108894812008,0.00050530570995444,0.9993442546850503,0.9993947548145641,0.9987888082659558,0.9988897549384578
